title,url,discounted_price,original_price
[China 24Hours Shipping] Original New Items Limited Quantity Continuous update 24HOURS SHIPPING,https://www.cigbest.com/products/sample-item,100,
[Germany Shipping in 2 Weeks] Authentic Wotofo Mega Disposable Vape Pen Pod Kit 1500 Puffs x 1,https://www.cigbest.com/products/authentic-wotofo-mega-disposable-vape-pen-pod-kit-1500-puffs-x-1,1016,
[China 24Hours Shipping] Authentic Vapesring Mega Plus Disposable Kit 7000 Puffs,https://www.cigbest.com/products/authentic-vapesring-mega-plus-disposable-kit-7000-puffs,1267,
[China 24Hours Shipping] Authentic Vapesring Bar 8500 Disposable Kit 8500 Puffs,https://www.cigbest.com/products/authentic-vapesring-bar-8500-disposable-kit-8500-puffs,1197,
[Chin 24Hours Shipping] Authentic VOOPOO MUSKET 120W Box Mod,https://www.cigbest.com/products/authentic-voopoo-musket-120w-box-mod,1400,4948
[China 24Hours Shipping] Authentic Vapesring BC 6000 Disposable Kit 6000 Puffs,https://www.cigbest.com/products/authentic-vapesring-bc-6000-disposable-kit-6000-puffs,1185,
[Germany Ship in Next Week] 12pcs/pack Authentic Wotofo nexPOD 8ml Pre-filled juice e-liquid capacity pod cartridge 3500 Puffs,https://www.cigbest.com/products/authentic-wotofo-nexpod-8ml-pre-filled-juice-e-liquid-capacity-pod-cartridge-3500-puffs,4000,
[Germany Shipping in 2 Weeks] Authentic Wotofo MINI+ Disposable Vape Pen Pod Kit 2.8ml 800 Puffs 500mAh x 1,https://www.cigbest.com/products/authentic-wotofo-mini-disposable-vape-pen-pod-kit-2.8ml-800-puffs-500mah-x-1,794,
[EU 24Hours Shipping] CigBest E-Cigarette Lucky Box from EU Warehouse,https://www.cigbest.com/products/cigbest-e-cigarette-lucky-box-from-eu-warehouse,2999,
[Germany 24Hours Shipping] 10Pcs/Pack Authentic Vapesring Mega Plus Disposable Kit 7000 Puffs ,https://www.cigbest.com/products/-germany-shipping-authentic-vapesring-mega-plus-disposable-kit-7000-puffs-10pcs-pack,6800,
[EU Shipping in 2 Weeks] Authentic SMOK MAG-18 Mod 230W,https://www.cigbest.com/products/authentic-smok-mag-18-mod-230w,3307,8307
[EU 24Hours Shipping] Authentic Geekvape Sonder U Pod Kit + Geekvape Sonder U Pod Cartridge 0.7ohm 3pcs/pack,https://www.cigbest.com/products/-eu-authentic-geekvape-sonder-u-pod-kit,800,
[EU 24Hours Shipping] Authentic YiHi SXmini SL Class V2 Mod TC 100W,https://www.cigbest.com/products/-eu-authentic-yihi-sxmini-sl-class-v2-mod-tc-100w,6200,7900
[China 24Hours Shipping]Authentic Joyetech Ornate Atomizer 6ml,https://www.cigbest.com/products/authentic-joyetech-ornate-atomizer-6ml,100,
[China 24Hours Shipping] Authentic ASMODUS Wonderland E-juice 3MG 60ML,https://www.cigbest.com/products/authentic-asmodus-wonderland-e-juice-60ml,1200,
[EU 24Hours Shipping] Authentic Wismec Cylin RTA Atomizer - Silver,https://www.cigbest.com/products/-eu-authentic-wismec-cylin-rta-atomizer---silver,300,
[EU Shipping in 2 Weeks] Authentic Uwell Caliburn G2 Pod Kit 750mah,https://www.cigbest.com/products/authentic-uwell-caliburn-g2-pod-kit-750mah,2169,3169
